,predictor,predictee,score
0,Pers,Pers,94.8
1,Pers,Verg,81.0
2,Pers,Catvll,76.9
3,Pers,Ov,72.1
4,Pers,Lvcr,76.8
5,Pers,Ivv,81.6
6,Verg,Pers,85.3
7,Verg,Verg,96.1
8,Verg,Catvll,80.9
9,Verg,Ov,84.3
10,Verg,Lvcr,83.4
11,Verg,Ivv,89.4
12,Catvll,Pers,68.8
13,Catvll,Verg,77.8
14,Catvll,Catvll,93.7
15,Catvll,Ov,69.0
16,Catvll,Lvcr,70.8
17,Catvll,Ivv,76.4
18,Ov,Pers,77.6
19,Ov,Verg,84.1
20,Ov,Catvll,77.9
21,Ov,Ov,89.1
22,Ov,Lvcr,79.0
23,Ov,Ivv,83.6
24,Lvcr,Pers,80.4
25,Lvcr,Verg,85.7
26,Lvcr,Catvll,74.5
27,Lvcr,Ov,73.3
28,Lvcr,Lvcr,93.1
29,Lvcr,Ivv,85.8
30,Ivv,Pers,80.1
31,Ivv,Verg,84.7
32,Ivv,Catvll,75.7
33,Ivv,Ov,74.4
34,Ivv,Lvcr,81.5
35,Ivv,Ivv,93.2
