title,line,syllable,length
1,1,cui,long
1,1,-,space
1,1,do,long
1,1,no,long
1,1,-,space
1,1,le,short
1,1,pi,short
1,1,dum,long
1,1,-,space
1,1,no,short
1,1,vum,long
1,1,-,space
1,1,li,short
1,1,bel,long
1,1,lum,long
1,2,a,long
1,2,ri,long
1,2,da,long
1,2,-,space
1,2,mo,short
1,2,do,short
1,2,-,space
1,2,pu,long
1,2,mi,short
1,2,ce,elision
1,2,-,space
1,2,ex,long
1,2,po,short
1,2,li,long
1,2,tum,long
1,3,cor,long
1,3,ne,long
1,3,li,long
1,3,-,space
1,3,ti,short
1,3,bi,short
1,3,-,space
1,3,nam,long
1,3,que,short
1,3,-,space
1,3,tu,long
1,3,-,space
1,3,so,short
1,3,le,long
1,3,bas,long
1,4,me,short
1,4,as,long
1,4,-,space
1,4,es,long
1,4,se,elision
1,4,-,space
1,4,a,short
1,4,li,short
1,4,quid,long
1,4,-,space
1,4,pu,short
1,4,ta,long
1,4,re,short
1,4,-,space
1,4,nu,long
1,4,gas,long
1,5,iam,long
1,5,-,space
1,5,tum,long
1,5,-,space
1,5,cum,elision
1,5,-,space
1,5,au,long
1,5,sus,short
1,5,-,space
1,5,es,short
1,5,-,space
1,5,u,long
1,5,nus,short
1,5,-,space
1,5,I,long
1,5,ta,short
1,5,lo,long
1,5,rum,long
1,6,om,long
1,6,ne,elision
1,6,-,space
1,6,ae,long
1,6,vum,long
1,6,-,space
1,6,tri,short
1,6,bus,short
1,6,-,space
1,6,ex,long
1,6,pli,short
1,6,ca,long
1,6,re,short
1,6,-,space
1,6,car,long
1,6,tis,long
1,7,doc,long
1,7,tis,long
1,7,-,space
1,7,iup,long
1,7,pi,short
1,7,ter,short
1,7,-,space
1,7,et,long
1,7,-,space
1,7,la,short
1,7,bo,long
1,7,ri,short
1,7,o,long
1,7,sis,long
1,8,qua,long
1,8,re,elision
1,8,-,space
1,8,ha,long
1,8,be,long
1,8,-,space
1,8,ti,short
1,8,bi,short
1,8,-,space
1,8,quid,long
1,8,quid,long
1,8,-,space
1,8,hoc,long
1,8,-,space
1,8,li,short
1,8,bel,long
1,8,li,long
1,9,qua,long
1,9,le,short
1,9,cum,long
1,9,que,short
1,9,-,space
1,9,quod,short
1,9,-,space
1,9,o,long
1,9,-,space
1,9,pa,short
1,9,tro,long
1,9,na,short
1,9,-,space
1,9,vir,long
1,9,go,long
1,10,plus,long
1,10,-,space
1,10,u,long
1,10,no,long
1,10,-,space
1,10,ma,short
1,10,ne,short
1,10,at,long
1,10,-,space
1,10,per,short
1,10,en,long
1,10,ne,short
1,10,-,space
1,10,sae,long
1,10,clo,long
